"Sample"	"Replicate"	"microbe"	"Time"	"Concentration"	"headspace"	"pressure"	"condition"	"gas"	"id"
"1"	"MH2"	"MH23"	"M. smithii"	333.5	14.4590011025815	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"2"	"MH2"	"MH22"	"M. smithii"	333.5	18.1296844130336	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"3"	"MH2"	"MH21"	"M. smithii"	333.5	15.4991011546587	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"4"	"Cma"	"Cma1"	"C. massiliensis"	333.5	7.57330087379107	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"5"	"Ct"	"Ct3"	"C. timonensis"	333.5	0.874871736099392	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"6"	"Ct"	"Ct2"	"C. timonensis"	333.5	1.21024042819422	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"7"	"Ct"	"Ct1"	"C. timonensis"	333.5	0.809502556976963	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"8"	"CtM"	"CtM3"	"M. smithii /
C. timonensis"	333.5	0.0213367728205741	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"9"	"CtM"	"CtM2"	"M. smithii /
C. timonensis"	333.5	0.0203884718063264	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"10"	"CtM"	"CtM1"	"M. smithii /
C. timonensis"	333.5	0.021810923327698	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"11"	"Ct"	"Ct3"	"C. timonensis"	237.5	0.678533419401198	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"12"	"Ct"	"Ct2"	"C. timonensis"	237.5	0.845950598008544	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"13"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	333.5	0.245438827437361	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"14"	"Ct"	"Ct1"	"C. timonensis"	237.5	0.820249246909547	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"15"	"CtM"	"CtM3"	"M. smithii /
C. timonensis"	237.5	0.0197321781165879	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"16"	"MH2"	"MH23"	"M. smithii"	187.5	21.1931795315358	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"17"	"MH2"	"MH22"	"M. smithii"	187.5	21.8447005168711	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"18"	"Cma"	"Cma3"	"C. massiliensis"	187.5	6.91026168468687	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"19"	"Cma"	"Cma2"	"C. massiliensis"	187.5	6.56625687207267	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"20"	"Cma"	"Cma1"	"C. massiliensis"	187.5	6.49038519995267	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"21"	"CmaM"	"CmaM3"	"M. smithii /
C. massiliensis"	187.5	0.0803008948898288	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"22"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	187.5	0.0642589884836695	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"23"	"C"	"C1"	"C. minuta"	187.5	19.9717283120822	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"26"	"MH2"	"MH23"	"M. smithii"	164	26.3226164030141	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"27"	"Ct"	"Ct2"	"C. timonensis"	164	0.722990478129639	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"28"	"Ct"	"Ct1"	"C. timonensis"	164	0.542105244435807	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"29"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	164	0.0322936606481406	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"30"	"CtM"	"CtM2"	"M. smithii /
C. timonensis"	164	0.0939030772971457	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"31"	"CtM"	"CtM1"	"M. smithii /
C. timonensis"	164	0.772068525656383	"N2"	"atm"	"N2-atm"	"H2"	"H2"
