"SampleBatch" "Replicate" "microbe" "Time" "Concentration" "headspace" "pressure" "condition" "gas" "id" "Batch"
"1" "MH2-atm" "MH2_2" "M. smithii" 166.5 23.4579331782717 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"2" "C-atm" "C2" "C. minuta" 166.5 18.5372017210795 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"3" "C-atm" "C1" "C. minuta" 166.5 16.8846255351757 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"4" "MH2-atm" "MH2_2" "M. smithii" 140.5 23.2998887831425 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"5" "C-atm" "C3" "C. minuta" 140.5 17.2161833319555 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"6" "C-atm" "C1" "C. minuta" 140.5 15.1736665549856 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"8" "MC-atm" "MC3" "M. smithii /
C. minuta" 116.5 0.121162394464364 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"9" "MC-atm" "MC2" "M. smithii /
C. minuta" 116.5 0.044995381550836 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"11" "MH2-atm" "MH2_2" "M. smithii" 88.75 32.6284089929937 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"12" "C-atm" "C3" "C. minuta" 88.75 17.3818453589005 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"13" "C-atm" "C2" "C. minuta" 88.75 17.5987319768514 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"14" "C-atm" "C1" "C. minuta" 88.75 18.3856632498919 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"15" "MC-atm" "MC3" "M. smithii /
C. minuta" 88.75 0.247382495246314 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"16" "MC-atm" "MC2" "M. smithii /
C. minuta" 88.75 0.245485400079775 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"17" "MH2-atm" "MH2_3" "M. smithii" 67.5 34.7388389083716 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"18" "MH2-atm" "MH2_2" "M. smithii" 67.5 35.5768001511603 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"19" "C-atm" "C2" "C. minuta" 67.5 12.9365276303925 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"20" "MC-atm" "MC1" "M. smithii /
C. minuta" 116.5 0.0604345322478577 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"21" "C-atm" "C1" "C. minuta" 67.5 13.0316366249813 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"22" "MC-atm" "MC3" "M. smithii /
C. minuta" 67.5 0.356555364702321 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"23" "MC-atm" "MC1" "M. smithii /
C. minuta" 67.5 0.278622571666017 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"24" "MH2-atm" "MH2_3" "M. smithii" 43.5 38.8217167145606 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"25" "MH2-atm" "MH2_2" "M. smithii" 43.5 36.7396676563492 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"26" "MH2-atm" "MH2_1" "M. smithii" 43.5 31.4982499349239 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"27" "C-atm" "C3" "C. minuta" 43.5 6.92066496650934 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"28" "MC-atm" "MC3" "M. smithii /
C. minuta" 43.5 0.350446391968192 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"29" "MC-atm" "MC1" "M. smithii /
C. minuta" 43.5 0.338723355827824 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"30" "MH2-atm" "MH2_1" "M. smithii" 20.5 54.5580593549566 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"31" "C-atm" "C2" "C. minuta" 20.5 3.20713163457551 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"32" "MH2-atm" "MH2_2" "M. smithii" 20.5 51.0918003068477 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"33" "C-atm" "C1" "C. minuta" 20.5 3.39649970625125 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"34" "MC-atm" "MC3" "M. smithii /
C. minuta" 20.5 0.22460631664489 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"35" "MN22" "MN2_12" "M. smithii" 143 0.12700717483154 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"36" "MN22" "MN2_22" "M. smithii" 119 0.0546684947978812 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"37" "MN22" "MN2_12" "M. smithii" 119 0.133734498663006 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"38" "MN22" "MN2_32" "M. smithii" 95 0.0855135939319892 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"39" "MN22" "MN2_22" "M. smithii" 95 0.0641590103591446 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"40" "MN22" "MN2_32" "M. smithii" 75 0.0796466764318205 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"41" "MN22" "MN2_22" "M. smithii" 75 0.0469495474243976 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"42" "MN22" "MN2_12" "M. smithii" 75 0.0938781265130637 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"43" "MN22" "MN2_22" "M. smithii" 51.75 0.0356616219124223 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"44" "MN22" "MN2_12" "M. smithii" 51.75 0.0715199190804986 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"45" "MN22" "MN2_22" "M. smithii" 22.5 0.0297347013512498 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"46" "MN22" "MN2_12" "M. smithii" 22.5 0.0361308518951788 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"48" "MH23" "MH2_13" "M. smithii" 183.75 44.7865981829816 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"49" "C3" "C23" "C. minuta" 183.75 13.5003498238335 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"50" "C3" "C13" "C. minuta" 183.75 14.8760603385701 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"51" "MC-atm" "MC2" "M. smithii /
C. minuta" 166.5 0.0873436205926585 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"52" "MC3" "MC33" "M. smithii /
C. minuta" 183.75 0.031875056957565 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"53" "MC3" "MC13" "M. smithii /
C. minuta" 183.75 0.0316582198354047 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"54" "B3" "B13" "B. thetaiotaomicron" 183.75 2.06088405160344 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"55" "MB3" "MB13" "M. smithii /
B. thetaiotaomicron" 183.75 0.144580054268583 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"59" "MH23" "MH2_33" "M. smithii" 157 42.2469874513089 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"61" "C3" "C13" "C. minuta" 157 14.7559901074052 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"62" "MC3" "MC33" "M. smithii /
C. minuta" 157 0.0312398517408836 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"63" "MC3" "MC23" "M. smithii /
