Name	Replicate	Concentration	TP	Sample	Time	Conc_corrected
1	Acetate	C1	12.51	t2	C	46.25	4.21666666666667
2	Acetate	C2	12.66	t2	C	46.25	4.36666666666667
3	Acetate	C3	13	t2	C	46.25	4.70666666666667
4	Acetate	MH212bar	8.4	t2	MH2-2bar	46.25	0.106666666666667
5	Acetate	MH21	8.41	t2	MH2	46.25	0.116666666666667
6	Acetate	MH222bar	7.94	t2	MH2-2bar	46.25	0
7	Acetate	MH22	8.08	t2	MH2	46.25	0
8	Acetate	MH232bar	8.34	t2	MH2-2bar	46.25	0.0466666666666669
9	Acetate	MH23	8.37	t2	MH2	46.25	0.0766666666666662
10	Acetate	MC1	12.43	t2	MC	46.25	4.13666666666667
11	Acetate	MC2	12.93	t2	MC	46.25	4.63666666666667
12	Acetate	MC3	13.48	t2	MC	46.25	5.18666666666667
13	Acetate	null1	8.1	t2	null	46.25	0
14	Acetate	null2	8.4	t2	null	46.25	0.106666666666667
15	Acetate	null3	8.38	t2	null	46.25	0.0866666666666678
16	Acetate	C1	20.51	t4	C	91.75	12.4033333333333
17	Acetate	C2	20.92	t4	C	91.75	12.8133333333333
18	Acetate	C3	20.28	t4	C	91.75	12.1733333333333
19	Acetate	MH21	8.36	t4	MH2	91.75	0.253333333333334
20	Acetate	MH22	8.67	t4	MH2	91.75	0.563333333333334
21	Acetate	MH23	8.26	t4	MH2	91.75	0.153333333333334
22	Acetate	MC1	20.78	t4	MC	91.75	12.6733333333333
23	Acetate	MC2	20.79	t4	MC	91.75	12.6833333333333
24	Acetate	MC3	21.49	t4	MC	91.75	13.3833333333333
25	Acetate	null1	8.45	t4	null	91.75	0.343333333333334
26	Acetate	null2	7.93	t4	null	91.75	0
27	Acetate	null3	7.94	t4	null	91.75	0
28	Acetate	C1	27.68	t7	C	170.75	19.8566666666667
29	Acetate	C2	27.56	t7	C	170.75	19.7366666666667
30	Acetate	C3	28.16	t7	C	170.75	20.3366666666667
31	Acetate	MC1	28.3	t7	MC	170.75	20.4766666666667
32	Acetate	MC2	28.6	t7	MC	170.75	20.7766666666667
33	Acetate	MC3	28.59	t7	MC	170.75	20.7666666666667
34	Acetate	null1	7.15	t7	null	170.75	0
35	Acetate	null2	8.11	t7	null	170.75	0.286666666666666
36	Acetate	null3	8.21	t7	null	170.75	0.386666666666668
37	Acetate	C1	29.29	t10	C	233.75	20.6266666666667
38	Acetate	C2	31.09	t10	C	233.75	22.4266666666667
39	Acetate	C3	28.43	t10	C	233.75	19.7666666666667
40	Acetate	MH21	8.03	t10	MH2	233.75	0
41	Acetate	MH22	8.12	t10	MH2	233.75	0
42	Acetate	MH23	8.63	t10	MH2	233.75	0
43	Acetate	MC1	31.77	t10	MC	233.75	23.1066666666667
44	Acetate	MC2	32	t10	MC	233.75	23.3366666666667
45	Acetate	MC3	32.45	t10	MC	233.75	23.7866666666667
46	Acetate	null1	8.73	t10	null	233.75	0.0666666666666664
47	Acetate	null2	8.67	t10	null	233.75	0.00666666666666593
48	Acetate	null3	8.59	t10	null	233.75	0
55	Butyrate	C1	0.72	t2	C	46.25	0.666666666666667
56	Butyrate	C2	0.73	t2	C	46.25	0.676666666666667
57	Butyrate	C3	0.78	t2	C	46.25	0.726666666666667
58	Butyrate	MH212bar	0	t2	MH2-2bar	46.25	0
59	Butyrate	MH21	0.13	t2	MH2	46.25	0.0766666666666667
60	Butyrate	MH222bar	0.09	t2	MH2-2bar	46.25	0.0366666666666667
61	Butyrate	MH22	0.08	t2	MH2	46.25	0.0266666666666667
62	Butyrate	MH232bar	0.02	t2	MH2-2bar	46.25	0
63	Butyrate	MH23	0.08	t2	MH2	46.25	0.0266666666666667
64	Butyrate	MC1	0.66	t2	MC	46.25	0.606666666666667
65	Butyrate	MC2	0.7	t2	MC	46.25	0.646666666666667
66	Butyrate	MC3	0.81	t2	MC	46.25	0.756666666666667
67	Butyrate	null1	0	t2	null	46.25	0
68	Butyrate	null2	0.07	t2	null	46.25	0.0166666666666667
69	Butyrate	null3	0.09	t2	null	46.25	0.0366666666666667
70	Butyrate	C1	2.43	t4	C	91.75	2.33666666666667
71	Butyrate	C2	2.46	t4	C	91.75	2.36666666666667
72	Butyrate	C3	2.48	t4	C	91.75	2.38666666666667
73	Butyrate	MH21	0.1	t4	MH2	91.75	0.00666666666666667
74	Butyrate	MH22	0.09	t4	MH2	91.75	0
75	Butyrate	MH23	0.08	t4	MH2	91.75	0
76	Butyrate	MC1	2.38	t4	MC	91.75	2.28666666666667
77	Butyrate	MC2	2.34	t4	MC	91.75	2.24666666666667
78	Butyrate	MC3	2.53	t4	MC	91.75	2.43666666666667
79	Butyrate	null1	0.09	t4	null	91.75	0
80	Butyrate	null2	0.1	t4	null	91.75	0.00666666666666667
81	Butyrate	null3	0.09	t4	null	91.75	0
82	Butyrate	C1	3.61	t7	C	170.75	3.52333333333333
83	Butyrate	C2	3.63	t7	C	170.75	3.54333333333333
84	Butyrate	C3	3.67	t7	C	170.75	3.58333333333333
85	Butyrate	MC1	3.49	t7	MC	170.75	3.40333333333333
86	Butyrate	MC2	3.4	t7	MC	170.75	3.31333333333333
87	Butyrate	MC3	3.41	t7	MC	170.75	3.32333333333333
88	Butyrate	null1	0.1	t7	null	170.75	0.0133333333333333
89	Butyrate	null2	0.07	t7	null	170.75	0
90	Butyrate	null3	0.09	t7	null	170.75	0.00333333333333333
91	Butyrate	C1	3.61	t10	C	233.75	3.53
92	Butyrate	C2	3.9	t10	C	233.75	3.82
93	Butyrate	C3	3.5	t10	C	233.75	3.42
94	Butyrate	MH21	0.03	t10	MH2	233.75	0
95	Butyrate	MH22	0.06	t10	MH2	233.75	0
96	Butyrate	MH23	0.06	t10	MH2	233.75	0
97	Butyrate	MC1	3.61	t10	MC	233.75	3.53
98	Butyrate	MC2	3.59	t10	MC	233.75	3.51
99	Butyrate	MC3	3.51	t10	MC	233.75	3.43
