"Sample"	"Name"	"Concentration"	"Time"	"Conc_corrected"	"microbe"	"headspace"	"pressure"	"condition"	"id"	"pair"	"moco"
"nullN2"	"Acetate"	6.5	0	0	"None"	"N2"	"atm"	"N2-atm"	"nullN2Acetate"	NA	"mono"
"nullN2"	"Acetate"	6.6	44.5	0	"None"	"N2"	"atm"	"N2-atm"	"nullN2Acetate"	NA	"mono"
"C"	"Acetate"	12	44.5	5.4	"C. minuta"	"N2"	"atm"	"N2-atm"	"CAcetate"	NA	"mono"
"C"	"Acetate"	12.4	44.5	5.8	"C. minuta"	"N2"	"atm"	"N2-atm"	"CAcetate"	NA	"mono"
"C"	"Acetate"	11.6	44.5	5	"C. minuta"	"N2"	"atm"	"N2-atm"	"CAcetate"	NA	"mono"
"CtM"	"Acetate"	6.8	44.5	0.2	"M. smithii /
C. timonensis"	"N2"	"atm"	"N2-atm"	"CtMAcetate"	"C. timonensis"	"co"
"CtM"	"Acetate"	7.2	44.5	0.600000000000001	"M. smithii /
C. timonensis"	"N2"	"atm"	"N2-atm"	"CtMAcetate"	"C. timonensis"	"co"
"CtM"	"Acetate"	6.5	44.5	0	"M. smithii /
C. timonensis"	"N2"	"atm"	"N2-atm"	"CtMAcetate"	"C. timonensis"	"co"
"CmaM"	"Acetate"	9	44.5	2.4	"M. smithii /
C. massiliensis"	"N2"	"atm"	"N2-atm"	"CmaMAcetate"	"C. massiliensis"	"co"
"CmaM"	"Acetate"	9.9	44.5	3.3	"M. smithii /
C. massiliensis"	"N2"	"atm"	"N2-atm"	"CmaMAcetate"	"C. massiliensis"	"co"
"Ct"	"Acetate"	6.2	44.5	0	"C. timonensis"	"N2"	"atm"	"N2-atm"	"CtAcetate"	"C. timonensis"	"mono"
"Ct"	"Acetate"	6.3	44.5	0	"C. timonensis"	"N2"	"atm"	"N2-atm"	"CtAcetate"	"C. timonensis"	"mono"
"Ct"	"Acetate"	7.1	44.5	0.5	"C. timonensis"	"N2"	"atm"	"N2-atm"	"CtAcetate"	"C. timonensis"	"mono"
"Cma"	"Acetate"	10.7	44.5	4.1	"C. massiliensis"	"N2"	"atm"	"N2-atm"	"CmaAcetate"	"C. massiliensis"	"mono"
"Cma"	"Acetate"	9.6	44.5	3	"C. massiliensis"	"N2"	"atm"	"N2-atm"	"CmaAcetate"	"C. massiliensis"	"mono"
"M"	"Acetate"	6.5	44.5	0	"M. smithii"	"N2"	"atm"	"N2-atm"	"MAcetate"	NA	"mono"
"M"	"Acetate"	6.3	44.5	0	"M. smithii"	"N2"	"atm"	"N2-atm"	"MAcetate"	NA	"mono"
"M"	"Acetate"	6.3	44.5	0	"M. smithii"	"N2"	"atm"	"N2-atm"	"MAcetate"	NA	"mono"
"nullN2"	"Acetate"	6.6	91.5	0	"None"	"N2"	"atm"	"N2-atm"	"nullN2Acetate"	NA	"mono"
"C"	"Acetate"	20.6	91.5	14	"C. minuta"	"N2"	"atm"	"N2-atm"	"CAcetate"	NA	"mono"
"C"	"Acetate"	19.1	91.5	12.5	"C. minuta"	"N2"	"atm"	"N2-atm"	"CAcetate"	NA	"mono"
"C"	"Acetate"	22.1	91.5	15.5	"C. minuta"	"N2"	"atm"	"N2-atm"	"CAcetate"	NA	"mono"
"CtM"	"Acetate"	8	91.5	1.4	"M. smithii /
C. timonensis"	"N2"	"atm"	"N2-atm"	"CtMAcetate"	"C. timonensis"	"co"
"CtM"	"Acetate"	6.7	91.5	0.100000000000001	"M. smithii /
C. timonensis"	"N2"	"atm"	"N2-atm"	"CtMAcetate"	"C. timonensis"	"co"
"CtM"	"Acetate"	7.5	91.5	0.9	"M. smithii /
C. timonensis"	"N2"	"atm"	"N2-atm"	"CtMAcetate"	"C. timonensis"	"co"
"CmaM"	"Acetate"	12.4	91.5	5.8	"M. smithii /
C. massiliensis"	"N2"	"atm"	"N2-atm"	"CmaMAcetate"	"C. massiliensis"	"co"
"CmaM"	"Acetate"	11.7	91.5	5.1	"M. smithii /
C. massiliensis"	"N2"	"atm"	"N2-atm"	"CmaMAcetate"	"C. massiliensis"	"co"
